,County,Product,Date,Amount Fulfilled
215,Amador,Hand Sanitizers,October,101568.0
216,Amador,KN95 Respirators,October,100800.0
217,Amador,N-95 Respirators,October,3098240.0
218,Amador,Other / None of the above,October,23616.0
219,Amador,Sample Collecting Kits,October,16000.0
220,Amador,Surgical Masks,October,2912000.0
221,Amador,Surgical or Examination Gowns,October,418400.0
222,Amador,Swabs,October,224016.0
223,Amador,Test Kits,October,32000.0
224,Amador,Viral Testing Media,October,77056.0
225,Amador,Cleaning Supplies,September,900.0
226,Amador,Cloth Masks,September,510000.0
227,Amador,Coveralls (Hospitals or EMS),September,30000.0
228,Amador,Examination Gloves,September,3778000.0
229,Amador,Face Shields (Disposable),September,443040.0
230,Amador,Goggles,September,300000.0
231,Amador,Hand Sanitizers,September,190380.0
232,Amador,KN95 Respirators,September,189000.0
233,Amador,N-95 Respirators,September,5809200.0
234,Amador,Other / None of the above,September,44280.0
235,Amador,Sample Collecting Kits,September,30000.0
236,Amador,Surgical Masks,September,5410000.0
237,Amador,Surgical or Examination Gowns,September,747000.0
238,Amador,Swabs,September,420030.0
239,Amador,Test Kits,September,60000.0
240,Amador,Viral Testing Media,September,144480.0
241,Butte,Cloth Masks,August,2102700.0
242,Butte,Examination Gloves,August,5221880.0
243,Butte,Face Shields (Disposable),August,309860.0
244,Butte,Goggles,August,91504.0
245,Butte,Hand Sanitizers,August,619416.0
246,Butte,KN95 Respirators,August,763600.0
247,Butte,Lab Kit,August,5600.0
248,Butte,Medical Equipment,August,2800.0
249,Butte,N-95 Respirators,August,3774896.0
250,Butte,Other / None of the above,August,406476.0
251,Butte,Personnel,August,500.0
252,Butte,Pharmaceuticals,August,2968.0
253,Butte,Sample Collecting Kits,August,16000.0
254,Butte,Surgical Masks,August,22156800.0
255,Butte,Surgical or Examination Gowns,August,1124256.0
256,Butte,Swabs,August,316856.0
257,Butte,Test Kits,August,74200.0
258,Butte,Viral Testing Media,August,322272.0
259,Butte,Cloth Masks,July,819000.0
260,Butte,Examination Gloves,July,1759760.0
261,Butte,Face Shields (Disposable),July,294780.0
262,Butte,Goggles,July,101308.0
263,Butte,Hand Sanitizers,July,315337.0
264,Butte,KN95 Respirators,July,453600.0
265,Butte,Lab Kit,July,6200.0
266,Butte,Medical Equipment,July,2740.0
267,Butte,N-95 Respirators,July,3235652.0
268,Butte,Other / None of the above,July,449427.0
269,Butte,Personnel,July,458.0
270,Butte,Pharmaceuticals,July,3264.0
271,Butte,Surgical Masks,July,14729000.0
272,Butte,Surgical or Examination Gowns,July,1244712.0
273,Butte,Swabs,July,328662.0
274,Butte,Test Kits,July,82150.0
275,Butte,Viral Testing Media,July,297600.0
276,Butte,Cloth Masks,June,488500.0
277,Butte,Examination Gloves,June,91080.0
278,Butte,Face Shields (Disposable),June,186756.0
279,Butte,Goggles,June,75164.0
280,Butte,Hand Sanitizers,June,107485.0
281,Butte,Lab Kit,June,4600.0
282,Butte,Medical Equipment,June,1250.0
283,Butte,N-95 Respirators,June,1691476.0
284,Butte,Other / None of the above,June,331845.0
285,Butte,Pharmaceuticals,June,1610.0
286,Butte,Surgical Masks,June,2295000.0
287,Butte,Surgical or Examination Gowns,June,907496.0
288,Butte,Swabs,June,174846.0
289,Butte,Test Kits,June,60950.0
290,Butte,Viral Testing Media,June,147200.0
291,Butte,Cloth Masks,October,1507200.0
292,Butte,Examination Gloves,October,4527360.0
293,Butte,Face Shields (Disposable),October,190592.0
294,Butte,Goggles,October,52288.0
295,Butte,Hand Sanitizers,October,395952.0
296,Butte,KN95 Respirators,October,860800.0
297,Butte,Lab Kit,October,3200.0
298,Butte,Medical Equipment,October,1600.0
299,Butte,N-95 Respirators,October,3052352.0
300,Butte,Other / None of the above,October,232272.0
301,Butte,Personnel,October,304.0
302,Butte,Pharmaceuticals,October,1696.0
303,Butte,Sample Collecting Kits,October,231200.0
304,Butte,Surgical Masks,October,14243200.0
305,Butte,Surgical or Examination Gowns,October,642432.0
306,Butte,Swabs,October,512632.0
307,Butte,Test Kits,October,42400.0
308,Butte,Viral Testing Media,October,454656.0
309,Butte,Cloth Masks,September,2806200.0
310,Butte,Examination Gloves,September,8335800.0
311,Butte,Face Shields (Disposable),September,356528.0
312,Butte,Goggles,September,98040.0
313,Butte,Hand Sanitizers,September,740850.0
314,Butte,KN95 Respirators,September,1565400.0
315,Butte,Lab Kit,September,6000.0
316,Butte,Medical Equipment,September,3000.0
317,Butte,N-95 Respirators,September,5685720.0
318,Butte,Other / None of the above,September,435510.0
319,Butte,Personnel,September,570.0
320,Butte,Pharmaceuticals,September,3180.0
321,Butte,Sample Collecting Kits,September,193600.0
322,Butte,Surgical Masks,September,26395600.0
323,Butte,Surgical or Examination Gowns,September,1204560.0
324,Butte,Swabs,September,644060.0
325,Butte,Test Kits,September,79500.0
326,Butte,Viral Testing Media,September,572880.0
327,Calaveras,Cloth Masks,August,420000.0
328,Calaveras,Examination Gloves,August,1267800.0
329,Calaveras,Face Shields (Disposable),August,97040.0
330,Calaveras,Goggles,August,19600.0
331,Calaveras,Hand Sanitizers,August,140220.0
332,Calaveras,KN95 Respirators,August,146720.0
333,Calaveras,Lab Supplies,August,140000.0
334,Calaveras,Medical Equipment,August,2800.0
335,Calaveras,N-95 Respirators,August,685216.0
336,Calaveras,Other / None of the above,August,425600.0
337,Calaveras,Pharmaceuticals,August,280.0
338,Calaveras,Sample Collecting Kits,August,23800.0
339,Calaveras,Surgical Masks,August,94000.0
340,Calaveras,Surgical or Examination Gowns,August,198800.0
341,Calaveras,Swabs,August,308028.0
342,Calaveras,Viral Testing Media,August,224000.0
343,Calaveras,Wipes,August,285600.0
344,Calaveras,Cloth Masks,July,465000.0
345,Calaveras,Examination Gloves,July,1298600.0
346,Calaveras,Face Shields (Disposable),July,79030.0
347,Calaveras,Goggles,July,21300.0
348,Calaveras,Hand Sanitizers,July,131624.0
349,Calaveras,KN95 Respirators,July,162440.0
350,Calaveras,Lab Supplies,July,155000.0
351,Calaveras,Medical Equipment,July,3100.0
352,Calaveras,N-95 Respirators,July,758632.0
353,Calaveras,Other / None of the above,July,471200.0
354,Calaveras,Pharmaceuticals,July,309.0
355,Calaveras,Sample Collecting Kits,July,5550.0
356,Calaveras,Surgical Masks,July,60000.0
357,Calaveras,Surgical or Examination Gowns,July,218100.0
358,Calaveras,Swabs,July,211031.0
359,Calaveras,Viral Testing Media,July,185600.0
360,Calaveras,Wipes,July,316200.0
361,Calaveras,Cloth Masks,June,235000.0
362,Calaveras,Examination Gloves,June,895800.0
363,Calaveras,Face Shields (Disposable),June,16790.0
364,Calaveras,Goggles,June,11500.0
365,Calaveras,Hand Sanitizers,June,47984.0
366,Calaveras,KN95 Respirators,June,120520.0
367,Calaveras,Lab Supplies,June,115000.0
368,Calaveras,Medical Equipment,June,2300.0
369,Calaveras,N-95 Respirators,June,524456.0
370,Calaveras,Other / None of the above,June,349600.0
371,Calaveras,Pharmaceuticals,June,183.0
372,Calaveras,Sample Collecting Kits,June,1150.0
373,Calaveras,Surgical or Examination Gowns,June,140300.0
374,Calaveras,Swabs,June,138023.0
375,Calaveras,Viral Testing Media,June,128800.0
376,Calaveras,Wipes,June,21000.0
377,Calaveras,Cloth Masks,October,240000.0
378,Calaveras,Examination Gloves,October,1129600.0
379,Calaveras,Face Shields (Disposable),October,82080.0
380,Calaveras,Goggles,October,11200.0
381,Calaveras,Hand Sanitizers,October,83840.0
382,Calaveras,KN95 Respirators,October,83840.0
383,Calaveras,Lab Supplies,October,80000.0
384,Calaveras,Medical Equipment,October,1600.0
385,Calaveras,N-95 Respirators,October,510592.0
386,Calaveras,Other / None of the above,October,243200.0
387,Calaveras,Pharmaceuticals,October,160.0
388,Calaveras,Sample Collecting Kits,October,13600.0
389,Calaveras,Surgical Masks,October,64000.0
390,Calaveras,Surgical or Examination Gowns,October,178400.0
391,Calaveras,Swabs,October,176016.0
392,Calaveras,Viral Testing Media,October,128000.0
393,Calaveras,Wipes,October,208000.0
394,Calaveras,Cloth Masks,September,450000.0
395,Calaveras,Examination Gloves,September,2093000.0
396,Calaveras,Face Shields (Disposable),September,152036.0
397,Calaveras,Goggles,September,21000.0
398,Calaveras,Hand Sanitizers,September,157000.0
399,Calaveras,KN95 Respirators,September,157200.0
400,Calaveras,Lab Supplies,September,150000.0
401,Calaveras,Medical Equipment,September,3000.0
402,Calaveras,N-95 Respirators,September,948480.0
403,Calaveras,Other / None of the above,September,456000.0
404,Calaveras,Pharmaceuticals,September,300.0
405,Calaveras,Sample Collecting Kits,September,25500.0
406,Calaveras,Surgical Masks,September,120000.0
407,Calaveras,Surgical or Examination Gowns,September,330300.0
408,Calaveras,Swabs,September,330030.0
409,Calaveras,Viral Testing Media,September,240000.0
410,Calaveras,Wipes,September,306000.0
411,Colusa,Cloth Masks,August,1022000.0
412,Colusa,Examination Gloves,August,37436000.0
413,Colusa,Face Shields (Disposable),August,332192.0
414,Colusa,Goggles,August,44800.0
415,Colusa,Hand Sanitizers,August,392812.0
416,Colusa,N-95 Respirators,August,809840.0
417,Colusa,Other / None of the above,August,280028.0
418,Colusa,Personnel,August,56.0
419,Colusa,Sample Collecting Kits,August,1400.0
420,Colusa,Surgical Masks,August,35560000.0
421,Colusa,Surgical or Examination Gowns,August,36568.0
422,Colusa,Swabs,August,140000.0
423,Colusa,Test Kits,August,14000.0
424,Colusa,Viral Testing Media,August,134400.0
425,Colusa,Cloth Masks,July,411500.0
426,Colusa,Examination Gloves,July,9448960.0
427,Colusa,Face Shields (Disposable),July,176504.0
428,Colusa,Goggles,July,49600.0
429,Colusa,Hand Sanitizers,July,189139.0
430,Colusa,N-95 Respirators,July,291620.0
431,Colusa,Other / None of the above,July,50004.0
432,Colusa,Personnel,July,8.0
433,Colusa,Sample Collecting Kits,July,1550.0
434,Colusa,Surgical Masks,July,33780000.0
435,Colusa,Surgical or Examination Gowns,July,40486.0
436,Colusa,Swabs,July,155000.0
437,Colusa,Test Kits,July,15500.0
438,Colusa,Viral Testing Media,July,148800.0
439,Colusa,Cloth Masks,June,449500.0
440,Colusa,Examination Gloves,June,92000.0
441,Colusa,Face Shields (Disposable),June,91632.0
442,Colusa,Goggles,June,36800.0
443,Colusa,Hand Sanitizers,June,87147.0
444,Colusa,N-95 Respirators,June,178420.0
445,Colusa,Sample Collecting Kits,June,1150.0
446,Colusa,Surgical Masks,June,14088000.0
447,Colusa,Surgical or Examination Gowns,June,30038.0
448,Colusa,Swabs,June,115000.0
449,Colusa,Test Kits,June,11500.0
450,Colusa,Viral Testing Media,June,110400.0
451,Colusa,Cloth Masks,October,600000.0
452,Colusa,Examination Gloves,October,21872000.0
453,Colusa,Face Shields (Disposable),October,189824.0
454,Colusa,Goggles,October,25600.0
455,Colusa,Hand Sanitizers,October,314064.0
456,Colusa,N-95 Respirators,October,1098560.0
457,Colusa,Other / None of the above,October,160016.0
458,Colusa,Personnel,October,32.0
459,Colusa,Sample Collecting Kits,October,800.0
460,Colusa,Surgical Masks,October,20640000.0
461,Colusa,Surgical or Examination Gowns,October,20896.0
462,Colusa,Swabs,October,80000.0
463,Colusa,Test Kits,October,8000.0
464,Colusa,Viral Testing Media,October,76800.0
465,Colusa,Cloth Masks,September,1125000.0
466,Colusa,Examination Gloves,September,40800000.0
467,Colusa,Face Shields (Disposable),September,355920.0
468,Colusa,Goggles,September,48000.0
469,Colusa,Hand Sanitizers,September,583870.0
470,Colusa,N-95 Respirators,September,1607640.0
471,Colusa,Other / None of the above,September,300030.0
472,Colusa,Personnel,September,60.0
473,Colusa,Sample Collecting Kits,September,1500.0
474,Colusa,Surgical Masks,September,38680000.0
475,Colusa,Surgical or Examination Gowns,September,39180.0
476,Colusa,Swabs,September,150000.0
477,Colusa,Test Kits,September,15000.0
478,Colusa,Viral Testing Media,September,144000.0
479,Contra Costa,Cleaning Supplies,August,14280.0
480,Contra Costa,Cloth Masks,August,3668000.0
481,Contra Costa,Coveralls (Hospitals or EMS),August,100800.0
482,Contra Costa,Examination Gloves,August,32067400.0
483,Contra Costa,Face Shields (Disposable),August,2077192.0
484,Contra Costa,Goggles,August,140000.0
485,Contra Costa,Hand Sanitizers,August,5727612.0
486,Contra Costa,KN95 Respirators,August,5167080.0
487,Contra Costa,N-95 Respirators,August,43388920.0
488,Contra Costa,Other / None of the above,August,344830.0
489,Contra Costa,Personnel,August,518.0
490,Contra Costa,Pharmaceuticals,August,12992.0
491,Contra Costa,Sample Collecting Kits,August,534800.0
492,Contra Costa,Shoe Covers,August,56000.0
493,Contra Costa,Surgical Masks,August,57066000.0
494,Contra Costa,Surgical or Examination Gowns,August,12542488.0
495,Contra Costa,Swabs,August,8176400.0
496,Contra Costa,Test Kits,August,345800.0
497,Contra Costa,Ventilators,August,700.0
498,Contra Costa,Viral Testing Media,August,5391130.0
499,Contra Costa,Wipes,August,249760.0
500,Contra Costa,Cleaning Supplies,July,15810.0
501,Contra Costa,Cloth Masks,July,496000.0
502,Contra Costa,Coveralls (Hospitals or EMS),July,111600.0
503,Contra Costa,Examination Gloves,July,13633900.0
504,Contra Costa,Face Shields (Disposable),July,1623644.0
505,Contra Costa,Goggles,July,155000.0
506,Contra Costa,Hand Sanitizers,July,5724106.0
507,Contra Costa,KN95 Respirators,July,5712060.0
508,Contra Costa,N-95 Respirators,July,42807670.0
509,Contra Costa,Other / None of the above,July,271565.0
510,Contra Costa,Personnel,July,121.0
511,Contra Costa,Pharmaceuticals,July,14384.0
512,Contra Costa,Sample Collecting Kits,July,127100.0
513,Contra Costa,Shoe Covers,July,62000.0
514,Contra Costa,Surgical Masks,July,44652400.0
515,Contra Costa,Surgical or Examination Gowns,July,12286376.0
516,Contra Costa,Swabs,July,6905300.0
517,Contra Costa,Test Kits,July,22850.0
518,Contra Costa,Ventilators,July,775.0
519,Contra Costa,Viral Testing Media,July,3935172.0
520,Contra Costa,Wipes,July,190120.0
521,Contra Costa,Cleaning Supplies,June,11730.0
522,Contra Costa,Cloth Masks,June,248000.0
523,Contra Costa,Coveralls (Hospitals or EMS),June,82300.0
524,Contra Costa,Examination Gloves,June,3715700.0
525,Contra Costa,Face Shields (Disposable),June,797868.0
526,Contra Costa,Goggles,June,115000.0
527,Contra Costa,Hand Sanitizers,June,3441294.0
528,Contra Costa,KN95 Respirators,June,4125840.0
529,Contra Costa,N-95 Respirators,June,27554990.0
530,Contra Costa,Other / None of the above,June,200150.0
531,Contra Costa,Pharmaceuticals,June,6331.0
532,Contra Costa,Sample Collecting Kits,June,94300.0
533,Contra Costa,Shoe Covers,June,46000.0
534,Contra Costa,Surgical Masks,June,5033200.0
535,Contra Costa,Surgical or Examination Gowns,June,7072508.0
536,Contra Costa,Swabs,June,3194900.0
537,Contra Costa,Test Kits,June,8050.0
538,Contra Costa,Ventilators,June,575.0
539,Contra Costa,Viral Testing Media,June,1756676.0
540,Contra Costa,Wipes,June,66920.0
541,Contra Costa,Cleaning Supplies,October,8160.0
542,Contra Costa,Cloth Masks,October,2140800.0
543,Contra Costa,Coveralls (Hospitals or EMS),October,57600.0
544,Contra Costa,Examination Gloves,October,19419200.0
545,Contra Costa,Face Shields (Disposable),October,1279232.0
546,Contra Costa,Goggles,October,80000.0
547,Contra Costa,Hand Sanitizers,October,3313824.0
548,Contra Costa,KN95 Respirators,October,2957760.0
549,Contra Costa,N-95 Respirators,October,26514880.0
550,Contra Costa,Other / None of the above,October,207020.0
551,Contra Costa,Personnel,October,672.0
552,Contra Costa,Pharmaceuticals,October,7424.0
553,Contra Costa,Sample Collecting Kits,October,385600.0
554,Contra Costa,Shoe Covers,October,32000.0
555,Contra Costa,Surgical Masks,October,32905600.0
556,Contra Costa,Surgical or Examination Gowns,October,7167136.0
557,Contra Costa,Swabs,October,4740800.0
558,Contra Costa,Test Kits,October,279520.0
559,Contra Costa,Ventilators,October,400.0
560,Contra Costa,Viral Testing Media,October,3309296.0
561,Contra Costa,Wipes,October,142720.0
562,Contra Costa,Cleaning Supplies,September,15300.0
563,Contra Costa,Cloth Masks,September,4014000.0
564,Contra Costa,Coveralls (Hospitals or EMS),September,108000.0
565,Contra Costa,Examination Gloves,September,36411000.0
566,Contra Costa,Face Shields (Disposable),September,2377560.0
567,Contra Costa,Goggles,September,150000.0
568,Contra Costa,Hand Sanitizers,September,6194020.0
569,Contra Costa,KN95 Respirators,September,5545800.0
570,Contra Costa,N-95 Respirators,September,48057300.0
571,Contra Costa,Other / None of the above,September,387875.0
572,Contra Costa,Personnel,September,708.0
573,Contra Costa,Pharmaceuticals,September,13920.0
574,Contra Costa,Sample Collecting Kits,September,723000.0
575,Contra Costa,Shoe Covers,September,60000.0
576,Contra Costa,Surgical Masks,September,61698000.0
577,Contra Costa,Surgical or Examination Gowns,September,13438380.0
578,Contra Costa,Swabs,September,8889000.0
579,Contra Costa,Test Kits,September,370500.0
580,Contra Costa,Ventilators,September,750.0
581,Contra Costa,Viral Testing Media,September,6204930.0
582,Contra Costa,Wipes,September,267600.0
583,Del Norte,Cloth Masks,August,838480.0
584,Del Norte,Coveralls (Hospitals or EMS),August,42000.0
585,Del Norte,Examination Gloves,August,20462600.0
586,Del Norte,Face Shields (Disposable),August,256000.0
587,Del Norte,Goggles,August,25200.0
588,Del Norte,Hand Sanitizers,August,354948.0
589,Del Norte,KN95 Respirators,August,23940.0
590,Del Norte,N-95 Respirators,August,4590280.0
591,Del Norte,Other / None of the above,August,844816.0
592,Del Norte,Sample Collecting Kits,August,119000.0
593,Del Norte,Shoe Covers,August,112000.0
594,Del Norte,Surgical Masks,August,18818800.0
595,Del Norte,Surgical or Examination Gowns,August,1000608.0
596,Del Norte,Swabs,August,419600.0
597,Del Norte,Viral Testing Media,August,190665.0
598,Del Norte,Wipes,August,114688.0
599,Del Norte,Cloth Masks,July,694460.0
600,Del Norte,Coveralls (Hospitals or EMS),July,46500.0
601,Del Norte,Examination Gloves,July,7152200.0
