Area_Name,Date,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
Anderson city,May,2020-05-01,2020,May,3500,500,0.11900000000000001
Anderson city,June,2020-06-01,2020,June,3700,400,0.106
Anderson city,July,2020-07-01,2020,July,3700,400,0.095
Anderson city,August,2020-08-01,2020,August,3800,300,0.07200000000000001
Anderson city,September,2020-09-01,2020,September,3800,300,0.07200000000000001
Angels City city,March,2020-03-01,2020,March,1830,0,0.002
Angels City city,April,2020-04-01,2020,April,1610,10,0.004
Angels City city,May,2020-05-01,2020,May,1580,10,0.004
Angels City city,June,2020-06-01,2020,June,1650,10,0.004
Angels City city,July,2020-07-01,2020,July,1680,10,0.003
Angels City city,August,2020-08-01,2020,August,1710,0,0.002
Angels City city,September,2020-09-01,2020,September,1690,0,0.002
Angwin CDP,March,2020-03-01,2020,March,2000,100,0.037000000000000005
Angwin CDP,April,2020-04-01,2020,April,1700,300,0.149
Angwin CDP,May,2020-05-01,2020,May,1700,300,0.134
Angwin CDP,June,2020-06-01,2020,June,1800,200,0.11699999999999999
Angwin CDP,July,2020-07-01,2020,July,1800,200,0.09699999999999999
Angwin CDP,August,2020-08-01,2020,August,1800,100,0.073
Angwin CDP,September,2020-09-01,2020,September,1800,100,0.07
Antioch city,March,2020-03-01,2020,March,47800,2700,0.053
Antioch city,April,2020-04-01,2020,April,41100,9100,0.18100000000000002
Antioch city,May,2020-05-01,2020,May,41300,8700,0.175
Antioch city,June,2020-06-01,2020,June,42500,8800,0.171
Antioch city,July,2020-07-01,2020,July,42800,8200,0.16
Antioch city,August,2020-08-01,2020,August,43300,6400,0.129
Antioch city,September,2020-09-01,2020,September,43600,6400,0.129
Apple Valley town,March,2020-03-01,2020,March,27500,1700,0.057999999999999996
Apple Valley town,April,2020-04-01,2020,April,24200,3500,0.127
Apple Valley town,May,2020-05-01,2020,May,24100,3500,0.127
Apple Valley town,June,2020-06-01,2020,June,24800,3700,0.129
Apple Valley town,July,2020-07-01,2020,July,25100,3600,0.125
Apple Valley town,August,2020-08-01,2020,August,25400,2800,0.1
Apple Valley town,September,2020-09-01,2020,September,25600,2900,0.102
Aptos CDP,March,2020-03-01,2020,March,3200,100,0.027999999999999997
Aptos CDP,April,2020-04-01,2020,April,2700,200,0.063
Aptos CDP,May,2020-05-01,2020,May,2700,200,0.053
Aptos CDP,June,2020-06-01,2020,June,2800,100,0.047
Aptos CDP,July,2020-07-01,2020,July,2800,100,0.04
Aptos CDP,August,2020-08-01,2020,August,2900,100,0.03
Aptos CDP,September,2020-09-01,2020,September,2900,100,0.027999999999999997
Aptos Hills Larkin Valley CDP,March,2020-03-01,2020,March,900,100,0.127
Aptos Hills Larkin Valley CDP,April,2020-04-01,2020,April,800,300,0.253
Aptos Hills Larkin Valley CDP,May,2020-05-01,2020,May,800,200,0.21899999999999997
Aptos Hills Larkin Valley CDP,June,2020-06-01,2020,June,800,200,0.19899999999999998
Aptos Hills Larkin Valley CDP,July,2020-07-01,2020,July,800,200,0.17300000000000001
Aptos Hills Larkin Valley CDP,August,2020-08-01,2020,August,800,100,0.133
Aptos Hills Larkin Valley CDP,September,2020-09-01,2020,September,800,100,0.127
Arbuckle CDP,March,2020-03-01,2020,March,1560,640,0.29100000000000004
Arbuckle CDP,April,2020-04-01,2020,April,1390,680,0.33
Arbuckle CDP,May,2020-05-01,2020,May,1430,500,0.257
Arbuckle CDP,June,2020-06-01,2020,June,1440,430,0.231
Arbuckle CDP,July,2020-07-01,2020,July,1500,350,0.19
Arbuckle CDP,August,2020-08-01,2020,August,1590,240,0.133
Arbuckle CDP,September,2020-09-01,2020,September,1560,250,0.136
Arcadia city,March,2020-03-01,2020,March,27600,1400,0.049
Arcadia city,April,2020-04-01,2020,April,22400,4500,0.16699999999999998
Arcadia city,May,2020-05-01,2020,May,22100,4700,0.17600000000000002
Arcadia city,June,2020-06-01,2020,June,23400,4600,0.16399999999999998
Arcadia city,July,2020-07-01,2020,July,23900,4300,0.152
Arcadia city,August,2020-08-01,2020,August,24300,3800,0.134
Arcadia city,September,2020-09-01,2020,September,24800,3400,0.122
Arcata city,March,2020-03-01,2020,March,8800,700,0.076
Arcata city,April,2020-04-01,2020,April,8100,2000,0.201
Arcata city,May,2020-05-01,2020,May,8100,1700,0.17600000000000002
Arcata city,June,2020-06-01,2020,June,8000,1600,0.171
Arcata city,July,2020-07-01,2020,July,8000,1500,0.156
Arcata city,August,2020-08-01,2020,August,8200,1100,0.12300000000000001
Arcata city,September,2020-09-01,2020,September,8300,1100,0.114
Arden Arcade CDP,March,2020-03-01,2020,March,43500,2900,0.062
Arden Arcade CDP,April,2020-04-01,2020,April,37900,8400,0.182
Arden Arcade CDP,May,2020-05-01,2020,May,38300,8400,0.18
Arden Arcade CDP,June,2020-06-01,2020,June,39400,8100,0.171
Arden Arcade CDP,July,2020-07-01,2020,July,39900,7500,0.159
Arden Arcade CDP,August,2020-08-01,2020,August,40500,5800,0.126
Arden Arcade CDP,September,2020-09-01,2020,September,40800,5800,0.125
Armona CDP,March,2020-03-01,2020,March,1200,200,0.159
Armona CDP,April,2020-04-01,2020,April,1100,300,0.215
Armona CDP,May,2020-05-01,2020,May,1100,300,0.19899999999999998
Armona CDP,June,2020-06-01,2020,June,1200,300,0.184
Armona CDP,July,2020-07-01,2020,July,1200,200,0.166
Armona CDP,August,2020-08-01,2020,August,1200,200,0.131
Armona CDP,September,2020-09-01,2020,September,1200,200,0.133
Arnold CDP,March,2020-03-01,2020,March,1060,80,0.07
Arnold CDP,April,2020-04-01,2020,April,930,190,0.16699999999999998
Arnold CDP,May,2020-05-01,2020,May,920,160,0.152
Arnold CDP,June,2020-06-01,2020,June,960,150,0.138
Arnold CDP,July,2020-07-01,2020,July,970,140,0.122
Arnold CDP,August,2020-08-01,2020,August,990,100,0.092
Arnold CDP,September,2020-09-01,2020,September,980,100,0.095
Aromas CDP (Monterey Co),March,2020-03-01,2020,March,1400,100,0.092
Aromas CDP (Monterey Co),April,2020-04-01,2020,April,1200,200,0.157
Aromas CDP (Monterey Co),May,2020-05-01,2020,May,1300,200,0.126
Aromas CDP (Monterey Co),June,2020-06-01,2020,June,1300,200,0.10800000000000001
Aromas CDP (Monterey Co),July,2020-07-01,2020,July,1300,100,0.09
Aromas CDP (Monterey Co),August,2020-08-01,2020,August,1300,100,0.067
Aromas CDP (Monterey Co),September,2020-09-01,2020,September,1300,100,0.065
Arroyo Grande city,March,2020-03-01,2020,March,9000,300,0.034
Arroyo Grande city,April,2020-04-01,2020,April,7600,1100,0.124
Arroyo Grande city,May,2020-05-01,2020,May,7500,1000,0.114
Arroyo Grande city,June,2020-06-01,2020,June,7800,900,0.10099999999999999
Arroyo Grande city,July,2020-07-01,2020,July,7900,800,0.08800000000000001
Arroyo Grande city,August,2020-08-01,2020,August,7900,600,0.067
Arroyo Grande city,September,2020-09-01,2020,September,8000,500,0.063
Artesia city,March,2020-03-01,2020,March,7400,400,0.054000000000000006
Artesia city,April,2020-04-01,2020,April,6000,1200,0.171
Artesia city,May,2020-05-01,2020,May,5900,1300,0.175
Artesia city,June,2020-06-01,2020,June,6300,1200,0.165
Artesia city,July,2020-07-01,2020,July,6400,1200,0.155
Artesia city,August,2020-08-01,2020,August,6500,1100,0.14
Artesia city,September,2020-09-01,2020,September,6600,1000,0.126
Arvin city,March,2020-03-01,2020,March,8000,1000,0.115
Arvin city,April,2020-04-01,2020,April,7000,1500,0.17800000000000002
Arvin city,May,2020-05-01,2020,May,7000,1500,0.172
Arvin city,June,2020-06-01,2020,June,7200,1400,0.166
Arvin city,July,2020-07-01,2020,July,7200,1300,0.156
Arvin city,August,2020-08-01,2020,August,7500,1000,0.11800000000000001
Arvin city,September,2020-09-01,2020,September,7500,1000,0.11699999999999999
Ashland CDP,March,2020-03-01,2020,March,10400,700,0.062
Ashland CDP,April,2020-04-01,2020,April,9000,2400,0.21
Ashland CDP,May,2020-05-01,2020,May,9000,2300,0.205
Ashland CDP,June,2020-06-01,2020,June,9300,2300,0.20199999999999999
Ashland CDP,July,2020-07-01,2020,July,9400,2100,0.184
Ashland CDP,August,2020-08-01,2020,August,9500,1600,0.145
Ashland CDP,September,2020-09-01,2020,September,9500,1600,0.14300000000000002
Atascadero city,March,2020-03-01,2020,March,15000,500,0.035
Atascadero city,April,2020-04-01,2020,April,12600,2000,0.134
Atascadero city,May,2020-05-01,2020,May,12500,1700,0.121
Atascadero city,June,2020-06-01,2020,June,12900,1500,0.107
Atascadero city,July,2020-07-01,2020,July,13100,1300,0.09300000000000001
Atascadero city,August,2020-08-01,2020,August,13100,1000,0.071
Atascadero city,September,2020-09-01,2020,September,13300,1000,0.069
Atherton town,March,2020-03-01,2020,March,3100,100,0.031
Atherton town,April,2020-04-01,2020,April,2700,400,0.124
Atherton town,May,2020-05-01,2020,May,2700,400,0.122
Atherton town,June,2020-06-01,2020,June,2700,400,0.11800000000000001
Atherton town,July,2020-07-01,2020,July,2800,300,0.102
Atherton town,August,2020-08-01,2020,August,2800,200,0.079
Atherton town,September,2020-09-01,2020,September,2900,200,0.078
Atwater city,March,2020-03-01,2020,March,10500,1400,0.11900000000000001
Atwater city,April,2020-04-01,2020,April,9800,2100,0.18
Atwater city,May,2020-05-01,2020,May,9900,1900,0.162
Atwater city,June,2020-06-01,2020,June,10100,1800,0.152
Atwater city,July,2020-07-01,2020,July,10000,1800,0.151
Atwater city,August,2020-08-01,2020,August,10400,1300,0.11
Atwater city,September,2020-09-01,2020,September,10700,1300,0.109
Auberry CDP,March,2020-03-01,2020,March,1000,100,0.066
Auberry CDP,April,2020-04-01,2020,April,900,100,0.105
Auberry CDP,May,2020-05-01,2020,May,900,100,0.096
Auberry CDP,June,2020-06-01,2020,June,900,100,0.08900000000000001
Auberry CDP,July,2020-07-01,2020,July,900,100,0.08199999999999999
Auberry CDP,August,2020-08-01,2020,August,900,100,0.062
Auberry CDP,September,2020-09-01,2020,September,900,100,0.062
Auburn city,March,2020-03-01,2020,March,6600,300,0.045
Auburn city,April,2020-04-01,2020,April,5800,900,0.141
Auburn city,May,2020-05-01,2020,May,5800,900,0.136
Auburn city,June,2020-06-01,2020,June,6000,800,0.121
Auburn city,July,2020-07-01,2020,July,6100,700,0.106
Auburn city,August,2020-08-01,2020,August,6200,500,0.081
Auburn city,September,2020-09-01,2020,September,6200,500,0.077
August CDP,March,2020-03-01,2020,March,2900,600,0.161
August CDP,April,2020-04-01,2020,April,2600,1200,0.312
August CDP,May,2020-05-01,2020,May,2600,1100,0.295
August CDP,June,2020-06-01,2020,June,2700,1000,0.28300000000000003
August CDP,July,2020-07-01,2020,July,2700,1000,0.266
August CDP,August,2020-08-01,2020,August,2700,700,0.212
August CDP,September,2020-09-01,2020,September,2800,700,0.212
Avalon city,March,2020-03-01,2020,March,2000,0,0.006
Avalon city,April,2020-04-01,2020,April,1600,0,0.021
Avalon city,May,2020-05-01,2020,May,1600,0,0.022000000000000002
Avalon city,June,2020-06-01,2020,June,1700,0,0.02
Avalon city,July,2020-07-01,2020,July,1700,0,0.019
Avalon city,August,2020-08-01,2020,August,1800,0,0.017
Avalon city,September,2020-09-01,2020,September,1800,0,0.015
Avenal city,March,2020-03-01,2020,March,3200,700,0.191
Avenal city,April,2020-04-01,2020,April,2900,1000,0.254
Avenal city,May,2020-05-01,2020,May,2900,900,0.23600000000000002
Avenal city,June,2020-06-01,2020,June,3000,800,0.218
Avenal city,July,2020-07-01,2020,July,3000,700,0.198
Avenal city,August,2020-08-01,2020,August,3000,600,0.157
Avenal city,September,2020-09-01,2020,September,3000,600,0.161
Avery CDP,March,2020-03-01,2020,March,270,40,0.11699999999999999
Avery CDP,April,2020-04-01,2020,April,240,80,0.258
Avery CDP,May,2020-05-01,2020,May,240,70,0.239
Avery CDP,June,2020-06-01,2020,June,250,70,0.22
Avery CDP,July,2020-07-01,2020,July,250,60,0.19699999999999998
Avery CDP,August,2020-08-01,2020,August,250,50,0.151
Avery CDP,September,2020-09-01,2020,September,250,50,0.155
Avocado Heights CDP,March,2020-03-01,2020,March,6700,600,0.08
Avocado Heights CDP,April,2020-04-01,2020,April,5400,1700,0.242
Avocado Heights CDP,May,2020-05-01,2020,May,5400,1800,0.24600000000000002
Avocado Heights CDP,June,2020-06-01,2020,June,5700,1700,0.233
Avocado Heights CDP,July,2020-07-01,2020,July,5800,1600,0.22
Avocado Heights CDP,August,2020-08-01,2020,August,5900,1500,0.201
Avocado Heights CDP,September,2020-09-01,2020,September,6000,1300,0.18100000000000002
Azusa city,March,2020-03-01,2020,March,23200,1600,0.064
Azusa city,April,2020-04-01,2020,April,18800,4400,0.18899999999999997
Azusa city,May,2020-05-01,2020,May,18500,4200,0.18600000000000003
Azusa city,June,2020-06-01,2020,June,19600,4100,0.171
Azusa city,July,2020-07-01,2020,July,20000,3900,0.163
Azusa city,August,2020-08-01,2020,August,20400,3600,0.149
Azusa city,September,2020-09-01,2020,September,20800,3300,0.136
Bakersfield MSA,March,2020-03-01,2020,March,344200,47500,0.121
Bakersfield MSA,April,2020-04-01,2020,April,301600,69200,0.187
Bakersfield MSA,May,2020-05-01,2020,May,301700,66600,0.18100000000000002
Bakersfield MSA,June,2020-06-01,2020,June,309600,65500,0.175
Bakersfield MSA,July,2020-07-01,2020,July,309600,60900,0.16399999999999998
Bakersfield MSA,August,2020-08-01,2020,August,322600,45700,0.124
Bakersfield MSA,September,2020-09-01,2020,September,323500,45700,0.124
Bakersfield city,March,2020-03-01,2020,March,161700,12500,0.07200000000000001
Bakersfield city,April,2020-04-01,2020,April,141700,28600,0.168
Bakersfield city,May,2020-05-01,2020,May,141800,28800,0.16899999999999998
Bakersfield city,June,2020-06-01,2020,June,145400,28600,0.16399999999999998
Bakersfield city,July,2020-07-01,2020,July,145500,28100,0.162
Bakersfield city,August,2020-08-01,2020,August,151600,21900,0.126
Bakersfield city,September,2020-09-01,2020,September,152000,22000,0.126
"Bakersfield, CA MSA",March,2020-03-01,2020,March,355074,40830,0.10300000000000001
"Bakersfield, CA MSA",April,2020-04-01,2020,April,304680,67568,0.182
"Bakersfield, CA MSA",May,2020-05-01,2020,May,298750,67825,0.185
"Bakersfield, CA MSA",June,2020-06-01,2020,June,306597,64496,0.174
"Bakersfield, CA MSA",July,2020-07-01,2020,July,307456,59973,0.163
"Bakersfield, CA MSA",August,2020-08-01,2020,August,316099,50315,0.13699999999999998
Baldwin Park city,March,2020-03-01,2020,March,31600,2400,0.07
Baldwin Park city,April,2020-04-01,2020,April,25600,7300,0.221
Baldwin Park city,May,2020-05-01,2020,May,25300,7200,0.222
Baldwin Park city,June,2020-06-01,2020,June,26800,7000,0.207
Baldwin Park city,July,2020-07-01,2020,July,27300,6600,0.19399999999999998
Baldwin Park city,August,2020-08-01,2020,August,27800,6000,0.179
Baldwin Park city,September,2020-09-01,2020,September,28400,5600,0.16399999999999998
Banning city,March,2020-03-01,2020,March,10500,800,0.067
Banning city,April,2020-04-01,2020,April,9300,2000,0.17800000000000002
Banning city,May,2020-05-01,2020,May,9200,2300,0.198
Banning city,June,2020-06-01,2020,June,9500,2000,0.172
Banning city,July,2020-07-01,2020,July,9600,1900,0.161
Banning city,August,2020-08-01,2020,August,9700,1400,0.127
Banning city,September,2020-09-01,2020,September,9800,1400,0.128
Barstow city,March,2020-03-01,2020,March,8300,600,0.068
Barstow city,April,2020-04-01,2020,April,7300,1600,0.18
Barstow city,May,2020-05-01,2020,May,7300,1700,0.185
Barstow city,June,2020-06-01,2020,June,7500,1700,0.182
Barstow city,July,2020-07-01,2020,July,7600,1600,0.17300000000000001
Barstow city,August,2020-08-01,2020,August,7700,1200,0.138
Barstow city,September,2020-09-01,2020,September,7800,1200,0.138
Bay Point CDP,March,2020-03-01,2020,March,11000,900,0.07200000000000001
Bay Point CDP,April,2020-04-01,2020,April,9500,2900,0.23600000000000002
Bay Point CDP,May,2020-05-01,2020,May,9500,2800,0.226
Bay Point CDP,June,2020-06-01,2020,June,9800,2800,0.22
Bay Point CDP,July,2020-07-01,2020,July,9900,2500,0.201
Bay Point CDP,August,2020-08-01,2020,August,10000,1900,0.159
Bay Point CDP,September,2020-09-01,2020,September,10100,1900,0.157
Beale AFB CDP,March,2020-03-01,2020,March,200,0,0.122
Beale AFB CDP,April,2020-04-01,2020,April,200,0,0.223
Beale AFB CDP,May,2020-05-01,2020,May,200,0,0.21100000000000002
Beale AFB CDP,June,2020-06-01,2020,June,200,0,0.2
Beale AFB CDP,July,2020-07-01,2020,July,200,0,0.188
Beale AFB CDP,August,2020-08-01,2020,August,200,0,0.146
Beale AFB CDP,September,2020-09-01,2020,September,200,0,0.15
Bear Valley CDP,March,2020-03-01,2020,March,30,0,0.0
Bear Valley CDP,April,2020-04-01,2020,April,20,0,0.0
Bear Valley CDP,May,2020-05-01,2020,May,20,0,0.0
Bear Valley CDP,June,2020-06-01,2020,June,20,0,0.0
Bear Valley CDP,July,2020-07-01,2020,July,20,0,0.0
Bear Valley CDP,August,2020-08-01,2020,August,20,0,0.0
Bear Valley CDP,September,2020-09-01,2020,September,30,0,0.0
Bear Valley Springs CDP,March,2020-03-01,2020,March,1700,100,0.062
Bear Valley Springs CDP,April,2020-04-01,2020,April,1500,200,0.099
Bear Valley Springs CDP,May,2020-05-01,2020,May,1500,200,0.096
